timestamp,aqi_numeric_rolling_mean_6h,aqi_numeric_rolling_mean_12h,aqi_numeric_rolling_mean_24h,aqi_numeric_rolling_std_12h,aqi_numeric_rolling_std_24h,aqi_numeric_rolling_q25_3h,aqi_numeric_rolling_q75_3h,aqi_numeric_rolling_min_3h,aqi_numeric_rolling_max_3h,aqi_numeric_rolling_q25_8h,aqi_numeric_rolling_q75_8h,aqi_numeric_rolling_min_8h,aqi_numeric_rolling_max_8h,aqi_numeric_rolling_q25_16h,aqi_numeric_rolling_q75_16h,aqi_numeric_rolling_min_16h,aqi_numeric_rolling_max_16h,aqi_numeric_rolling_q25_36h,aqi_numeric_rolling_q75_36h,aqi_numeric_rolling_min_36h,aqi_numeric_rolling_max_36h,aqi_numeric_rolling_q25_48h,aqi_numeric_rolling_q75_48h,aqi_numeric_rolling_min_48h,aqi_numeric_rolling_max_48h
2025-03-23 06:00:00,190.4495879968483,187.6923563447536,157.1602626508997,29.22189299141399,58.21798178289448,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099,269.2099099099099
2025-03-23 07:00:00,197.1481478844493,188.23794819582488,159.03562706958607,29.39980138930705,58.86639218441749,217.30247747747748,251.90743243243244,200.0,269.2099099099099,217.30247747747748,251.90743243243244,200.0,269.2099099099099,217.30247747747748,251.90743243243244,200.0,269.2099099099099,217.30247747747748,251.90743243243244,200.0,269.2099099099099,217.30247747747748,251.90743243243244,200.0,269.2099099099099
2025-03-23 08:00:00,201.8812002202413,188.09036301844523,160.2059818289819,29.39036168083515,59.18371861437885,194.5010537407798,234.60495495495496,189.0021074815596,269.2099099099099,194.5010537407798,234.60495495495496,189.0021074815596,269.2099099099099,194.5010537407798,234.60495495495496,189.0021074815596,269.2099099099099,194.5010537407798,234.60495495495496,189.0021074815596,269.2099099099099,194.5010537407798,234.60495495495496,189.0021074815596,269.2099099099099
2025-03-23 09:00:00,201.67810924728727,186.140775733584,158.27332559529827,30.0324132398094,58.13857987129477,177.72539515279243,194.5010537407798,166.4486828240253,200.0,183.363751317176,217.30247747747748,166.4486828240253,269.2099099099099,183.363751317176,217.30247747747748,166.4486828240253,269.2099099099099,183.363751317176,217.30247747747748,166.4486828240253,269.2099099099099,183.363751317176,217.30247747747748,166.4486828240253,269.2099099099099
2025-03-23 10:00:00,192.0343150215044,180.7263865237484,161.61927757743118,35.07825358011989,53.31681782512639,144.79243186427396,177.72539515279243,123.13618090452262,189.0021074815596,166.4486828240253,200.0,123.13618090452262,269.2099099099099,166.4486828240253,200.0,123.13618090452262,269.2099099099099,166.4486828240253,200.0,123.13618090452262,269.2099099099099,166.4486828240253,200.0,123.13618090452262,269.2099099099099
2025-03-23 11:00:00,176.83909492703808,175.18202108044474,164.66390348474553,40.13641805048771,47.88994538803362,118.18693467336684,144.79243186427396,113.23768844221104,166.4486828240253,133.9643063843983,197.2505268703899,113.23768844221104,269.2099099099099,133.9643063843983,197.2505268703899,113.23768844221104,269.2099099099099,133.9643063843983,197.2505268703899,113.23768844221104,269.2099099099099,133.9643063843983,197.2505268703899,113.23768844221104,269.2099099099099
2025-03-23 12:00:00,215.3041099420531,202.87684896945063,183.83751459585665,101.78693450110907,78.23983408390814,118.18693467336684,311.5680904522613,113.23768844221104,500.0,144.79243186427396,234.60495495495496,113.23768844221104,500.0,144.79243186427396,234.60495495495496,113.23768844221104,500.0,144.79243186427396,234.60495495495496,113.23768844221104,500.0,144.79243186427396,234.60495495495496,113.23768844221104,500.0
2025-03-23 13:00:00,207.17444713910265,202.161297511776,187.5639150610704,102.14676904121636,74.19960419782369,132.2298558122541,325.6110115911485,113.23768844221104,500.0,144.20056261285353,217.30247747747748,113.23768844221104,500.0,144.20056261285353,217.30247747747748,113.23768844221104,500.0,144.20056261285353,217.30247747747748,113.23768844221104,500.0,144.20056261285353,217.30247747747748,113.23768844221104,500.0
2025-03-23 14:00:00,203.1212332297243,202.5012167249828,190.00293976396665,102.00258908154652,72.34587874144972,157.95242360379348,332.3414120126449,151.22202318229716,500.0,144.20056261285353,191.7515806111697,113.23768844221104,500.0,151.22202318229716,200.0,113.23768844221104,500.0,151.22202318229716,200.0,113.23768844221104,500.0,151.22202318229716,200.0,113.23768844221104,500.0
2025-03-23 15:00:00,204.74251879347565,203.21031402038147,190.86693695399129,101.767723761682,72.03833360393749,157.95242360379348,170.4296101159115,151.22202318229716,176.17639620653318,144.20056261285353,179.38282402528978,113.23768844221104,500.0,154.58722339304532,197.2505268703899,113.23768844221104,500.0,154.58722339304532,197.2505268703899,113.23768844221104,500.0,154.58722339304532,197.2505268703899,113.23768844221104,500.0
2025-03-23 16:00:00,215.0274264720159,203.5308707467601,191.4912695848307,101.69743421677204,71.91319451381798,170.4296101159115,180.5110115911486,164.6828240252898,184.845626975764,144.20056261285353,178.3437038988409,113.23768844221104,500.0,157.95242360379348,194.5010537407798,113.23768844221104,500.0,157.95242360379348,194.5010537407798,113.23768844221104,500.0,157.95242360379348,194.5010537407798,113.23768844221104,500.0
