timestamp,aqi_numeric,temperature,relative_humidity,wind_speed,pressure,pm2_5,pm10,no2,o3,hour,day_of_week,is_weekend,pm2_5_lag24h,pm10_lag24h,no2_lag24h,o3_lag24h,temperature_lag24h,relative_humidity_lag24h,wind_speed_lag24h,pressure_lag24h,aqi_lag1h,aqi_lag3h,aqi_lag6h,pm25_lag6h,pm10_lag6h,pm2_5_lag48h,pm10_lag48h,no2_lag48h,o3_lag48h,aqi_numeric_lag48h,pm2_5_lag72h,pm10_lag72h,no2_lag72h,o3_lag72h,aqi_numeric_lag72h,temperature_lag48h,relative_humidity_lag48h,pressure_lag48h,temperature_lag72h,relative_humidity_lag72h,pressure_lag72h,pm2_5_rolling_mean_6h,pm10_rolling_mean_6h,aqi_numeric_rolling_mean_6h,temperature_rolling_mean_6h,relative_humidity_rolling_mean_6h,pm2_5_rolling_mean_12h,pm10_rolling_mean_12h,aqi_numeric_rolling_mean_12h,temperature_rolling_mean_12h,relative_humidity_rolling_mean_12h,pm2_5_rolling_mean_24h,pm10_rolling_mean_24h,aqi_numeric_rolling_mean_24h,temperature_rolling_mean_24h,relative_humidity_rolling_mean_24h,pm2_5_rolling_std_12h,pm10_rolling_std_12h,aqi_numeric_rolling_std_12h,pm2_5_rolling_std_24h,pm10_rolling_std_24h,aqi_numeric_rolling_std_24h,hour_sin,hour_cos,dow_sin,dow_cos,month,season,day_of_year,doy_sin,doy_cos,pm25_humidity_interaction,pm25_temp_interaction,pm10_wind_interaction,pm25_pm10_ratio,pm2_5_change_1h,pm2_5_change_3h,pm10_change_1h,pm10_change_3h,aqi_numeric_change_1h,aqi_numeric_change_3h,temperature_change_1h,temperature_change_3h,hour_since_midnight,is_peak_pollution_hour,is_low_pollution_hour
2025-03-15 21:00:00,164.89968387776608,14.5,83.0,3.6,1016.5,82.42,115.91,76.77,3.44,21,5,1,109.61,152.51,80.2,0.06,15.0,79.0,0.0,1013.3,160.57797681770285,151.0722866174921,66.70944206008585,19.57,31.65,,,,,,,,,,,,,,,,,82.42,115.91,164.89968387776608,14.5,83.0,82.42,115.91,164.89968387776608,14.5,83.0,82.42,115.91,164.89968387776608,14.5,83.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,3,1,74,0.9562348265919056,0.29260033563334836,6840.860000000001,1195.09,31.327027027027025,0.71045599517283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0
2025-03-16 00:00:00,166.60874604847209,12.5,88.0,0.0,1016.6,85.73,111.31,62.38,9.48,0,6,1,124.86,166.83,82.25,0.03,14.5,83.0,0.0,1012.4,167.56396206533194,164.89968387776608,151.0722866174921,55.64,83.93,,,,,,,,,,,,,,,,,84.075,113.61,165.75421496311907,13.5,85.5,84.075,113.61,165.75421496311907,13.5,85.5,84.075,113.61,165.75421496311907,13.5,85.5,2.3405234457274737,3.2526911934581144,1.2084894503756272,2.3405234457274737,3.2526911934581144,1.2084894503756272,0.0,1.0,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,7544.240000000001,1071.625,1113.1,0.7695000448792748,3.3100000000000023,0.0,-4.599999999999994,0.0,1.7090621707060052,0.0,-2.0,0.0,0,0,0
2025-03-16 03:00:00,170.04752370916754,15.0,79.0,3.6,1017.6,92.39,121.24,53.47,9.3,3,6,1,158.55,212.8,82.25,4.07,13.5,83.0,0.0,1014.4,166.7946259220232,166.60874604847209,164.89968387776608,82.42,115.91,,,,,,,,,,,,,,,,,86.84666666666668,116.15333333333332,167.18531787846857,14.0,83.33333333333333,86.84666666666668,116.15333333333332,167.18531787846857,14.0,83.33333333333333,86.84666666666668,116.15333333333332,167.18531787846857,14.0,83.33333333333333,5.077935932377775,4.96947012601276,2.62190580280833,5.077935932377775,4.96947012601276,2.62190580280833,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,7298.81,1385.85,32.76756756756757,0.7614142080105489,6.659999999999997,0.0,9.929999999999993,0.0,3.4387776606954503,0.0,2.5,0.0,3,0,0
2025-03-16 06:00:00,182.05742887249733,23.0,48.0,3.6,1016.6,115.65,144.4,63.75,103.0,6,6,1,116.94,162.62,52.78,52.21,20.0,56.0,11.2,1014.5,177.3691253951528,170.04752370916754,166.60874604847209,85.73,111.31,,,,,,,,,,,,,,,,,94.0475,123.215,170.90334562697575,16.25,74.5,94.0475,123.215,170.90334562697575,16.25,74.5,94.0475,123.215,170.90334562697575,16.25,74.5,14.986603740229699,14.694635075428037,7.738077800540076,14.986603740229699,14.694635075428037,7.738077800540076,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,5551.200000000001,2659.9500000000003,39.027027027027025,0.8003460207612457,23.260000000000005,33.230000000000004,23.16000000000001,28.49000000000001,12.00990516332979,17.157744994731246,8.0,8.5,6,0,0
2025-03-16 09:00:00,44.00000000000001,27.0,38.0,3.6,1014.8,10.56,14.81,2.59,143.05,9,6,1,7.44,10.7,5.1,125.89,24.0,46.0,7.6,1012.8,48.583333333333336,182.05742887249733,170.04752370916754,92.39,121.24,,,,,,,,,,,,,,,,,77.35,101.534,145.5226765015806,18.4,67.2,77.35,101.534,145.5226765015806,18.4,67.2,77.35,101.534,145.5226765015806,18.4,67.2,39.52823358056871,50.122629919029585,57.14718026551565,39.52823358056871,50.122629919029585,57.14718026551565,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,401.28000000000003,285.12,4.0027027027027025,0.7082494969818913,-105.09,-75.17,-129.59,-96.5,-138.05742887249733,-122.60874604847209,4.0,14.5,9,1,0
2025-03-16 12:00:00,45.625,27.5,36.0,7.6,1010.8,10.95,14.35,4.16,141.62,12,6,1,6.31,9.2,7.2,123.02,23.0,52.0,3.6,1012.4,43.708333333333336,44.00000000000001,182.05742887249733,115.65,144.4,,,,,,,,,,,,,,,,,66.28333333333333,87.00333333333333,128.87306375131718,19.916666666666668,62.0,66.28333333333333,87.00333333333333,128.87306375131718,19.916666666666668,62.0,66.28333333333333,87.00333333333333,128.87306375131718,19.916666666666668,62.0,44.55122519826662,57.24215288287703,65.39034942743372,44.55122519826662,57.24215288287703,65.39034942743372,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,394.2,301.125,1.8636363636363638,0.7577854671280276,0.3899999999999988,-81.44,-0.46000000000000085,-106.89,1.624999999999993,-124.42252370916754,0.5,12.5,12,0,0
2025-03-16 15:00:00,152.15142255005267,19.5,64.0,0.0,1011.6,57.73,81.74,77.46,25.03,15,6,1,19.57,31.65,31.87,67.95,19.5,60.0,3.6,1014.0,107.69748743718591,45.625,44.00000000000001,10.56,14.81,,,,,,,,,,,,,,,,,62.16833333333333,81.30833333333334,126.7483535300316,20.75,58.833333333333336,65.06142857142858,86.25142857142858,132.19854357970797,19.857142857142858,62.285714285714285,65.06142857142858,86.25142857142858,132.19854357970797,19.857142857142858,62.285714285714285,40.79780730569207,52.29255123137247,60.33788095239015,40.79780730569207,52.29255123137247,60.33788095239015,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,3694.72,1125.735,817.3999999999999,0.7054007820136853,46.78,-57.92000000000001,67.39,-62.66000000000001,106.52642255005267,-29.906006322444654,-8.0,-3.5,15,0,1
2025-03-16 18:00:00,181.88703898840885,19.0,59.0,7.6,1012.1,115.32,157.85,93.22,0.56,18,6,1,55.64,83.93,60.32,19.49,15.5,79.0,0.0,1016.3,171.99926238145417,152.15142255005267,45.625,10.95,14.35,,,,,,,,,,,,,,,,,67.1,89.065,129.29473568668774,21.833333333333332,54.0,71.34375,95.20125,138.40960550579558,19.75,61.875,71.34375,95.20125,138.40960550579558,19.75,61.875,41.74232177042521,54.632050362270995,58.55923438332916,41.74232177042521,54.632050362270995,58.55923438332916,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,6803.879999999999,2191.08,20.5,0.7301044634377968,57.589999999999996,104.75999999999999,76.11,143.04,29.735616438356175,137.88703898840885,-0.5,-8.0,18,1,0
2025-03-16 21:00:00,178.272708113804,14.0,78.0,0.0,1012.9,108.32,145.75,82.94,3.67,21,6,1,82.42,115.91,76.77,3.44,14.5,83.0,3.6,1016.5,181.4739726027397,181.88703898840885,152.15142255005267,57.73,81.74,,,,,,,,,,,,,,,,,69.755,93.15000000000002,130.66559975412716,21.666666666666668,53.833333333333336,75.45222222222222,100.81777777777778,142.8388391289076,19.11111111111111,63.666666666666664,75.45222222222222,100.81777777777778,142.8388391289076,19.11111111111111,63.666666666666664,40.94550823282628,53.80972746116119,56.36576030277092,40.94550823282628,53.80972746116119,56.36576030277092,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,3,1,75,0.9611297838723007,0.27609697309746883,8448.96,1516.48,1457.5,0.7426808364758313,-7.0,97.36999999999999,-12.099999999999994,131.4,-3.6143308746048604,132.647708113804,-5.0,-13.5,21,0,0
2025-03-17 00:00:00,167.1508956796628,12.0,88.0,0.0,1014.0,86.78,119.2,62.38,15.91,0,0,0,85.73,111.31,62.38,9.48,12.5,88.0,0.0,1016.6,169.71707060063224,178.272708113804,181.88703898840885,115.32,157.85,,,,,,,,,,,,,,,,,64.94333333333333,88.95,128.1811775553214,19.833333333333332,60.5,76.58500000000001,102.65599999999999,145.2700447839831,18.4,66.1,76.58500000000001,102.65599999999999,145.2700447839831,18.4,66.1,38.769638536130586,51.06424019474555,53.69539599592193,38.769638536130586,51.06424019474555,53.69539599592193,0.0,1.0,0.0,1.0,3,1,76,0.9657399376548549,0.2595117970697999,7636.64,1041.3600000000001,1192.0,0.7274098910310143,-21.539999999999992,29.050000000000004,-26.549999999999997,37.46000000000001,-11.12181243414119,14.999473129610124,-2.0,-7.5,0,0,0
