timestamp,aqi_lag1h,aqi_lag3h,aqi_lag6h,pm25_lag6h
2025-03-23 06:00:00,204.409009009009,167.66722866174922,167.66206533192835,87.77
2025-03-23 07:00:00,269.2099099099099,180.99894625922025,159.8086406743941,72.56
2025-03-23 08:00:00,200.0,204.409009009009,160.60379346680716,74.1
2025-03-23 09:00:00,189.0021074815596,269.2099099099099,167.66722866174922,87.78
2025-03-23 10:00:00,166.4486828240253,200.0,180.99894625922025,113.6
2025-03-23 11:00:00,123.13618090452262,189.0021074815596,204.409009009009,153.94
2025-03-23 12:00:00,113.23768844221104,166.4486828240253,269.2099099099099,219.33
2025-03-23 13:00:00,500.0,123.13618090452262,200.0,150.4
2025-03-23 14:00:00,151.22202318229716,113.23768844221104,189.0021074815596,129.1
2025-03-23 15:00:00,164.6828240252898,500.0,166.4486828240253,85.42
2025-03-23 16:00:00,176.17639620653318,151.22202318229716,123.13618090452262,44.49
2025-03-23 17:00:00,184.845626975764,164.6828240252898,113.23768844221104,40.47
2025-03-23 18:00:00,192.26533192834563,176.17639620653318,500.0,42.34
2025-03-23 19:00:00,199.03445732349843,184.845626975764,151.22202318229716,55.93
2025-03-23 20:00:00,204.5081081081081,192.26533192834563,164.6828240252898,82.0
2025-03-23 21:00:00,204.43873873873875,199.03445732349843,176.17639620653318,104.26
2025-03-23 22:00:00,204.5972972972973,204.5081081081081,184.845626975764,121.05
2025-03-23 23:00:00,206.2027027027027,204.43873873873875,192.26533192834563,135.42
2025-03-24 00:00:00,205.0828828828829,204.5972972972973,199.03445732349843,148.53
2025-03-24 01:00:00,198.9983140147524,206.2027027027027,204.5081081081081,154.04
2025-03-24 02:00:00,198.177344573235,205.0828828828829,204.43873873873875,153.97
2025-03-24 03:00:00,210.92972972972973,198.9983140147524,204.5972972972973,154.13
2025-03-24 04:00:00,231.67117117117115,198.177344573235,206.2027027027027,155.75
2025-03-24 05:00:00,253.5027027027027,210.92972972972973,205.0828828828829,154.62
2025-03-24 06:00:00,278.1981981981982,231.67117117117115,198.9983140147524,148.46
2025-03-24 07:00:00,305.06918767507005,253.5027027027027,198.177344573235,146.87
2025-03-24 08:00:00,191.4133825079031,278.1981981981982,210.92972972972973,160.52
2025-03-24 09:00:00,178.06617492096944,305.06918767507005,231.67117117117115,181.45
2025-03-24 10:00:00,171.0027397260274,191.4133825079031,253.5027027027027,203.48
2025-03-24 11:00:00,153.90695468914646,178.06617492096944,278.1981981981982,228.4
2025-03-24 12:00:00,145.93718592964825,171.0027397260274,305.06918767507005,255.61
2025-03-24 13:00:00,143.4748743718593,153.90695468914646,191.4133825079031,133.77
2025-03-24 14:00:00,156.4473129610116,145.93718592964825,178.06617492096944,107.92
2025-03-24 15:00:00,172.90284510010537,143.4748743718593,171.0027397260274,94.24
2025-03-24 16:00:00,189.6268703898841,156.4473129610116,153.90695468914646,61.13
2025-03-24 17:00:00,204.73603603603604,172.90284510010537,145.93718592964825,53.75
2025-03-24 18:00:00,210.51351351351352,189.6268703898841,143.4748743718593,52.75
2025-03-24 19:00:00,192.5338250790305,204.73603603603604,156.4473129610116,66.05
2025-03-24 20:00:00,163.05121180189673,210.51351351351352,172.90284510010537,97.92
2025-03-24 21:00:00,152.33213909378293,192.5338250790305,189.6268703898841,130.31
2025-03-24 22:00:00,140.02763819095478,163.05121180189673,204.73603603603604,154.27
2025-03-24 23:00:00,126.4849246231156,152.33213909378293,210.51351351351352,160.1
2025-03-25 00:00:00,115.05979899497488,140.02763819095478,192.5338250790305,135.94
2025-03-25 01:00:00,111.4894472361809,126.4849246231156,163.05121180189673,78.84
2025-03-25 02:00:00,114.07487437185932,115.05979899497488,152.33213909378293,58.08
2025-03-25 03:00:00,132.41909547738692,111.4894472361809,140.02763819095478,51.35
2025-03-25 04:00:00,144.09045226130655,114.07487437185932,126.4849246231156,45.85
2025-03-25 05:00:00,141.06180904522614,132.41909547738692,115.05979899497488,41.21
2025-03-25 06:00:00,148.74422110552763,144.09045226130655,111.4894472361809,39.76
2025-03-25 07:00:00,147.4884422110553,141.06180904522614,114.07487437185932,40.81
2025-03-25 08:00:00,85.99399141630903,148.74422110552763,132.41909547738692,48.26
2025-03-25 09:00:00,91.54592274678112,147.4884422110553,144.09045226130655,53.0
2025-03-25 10:00:00,92.57639484978544,85.99399141630903,141.06180904522614,51.77
2025-03-25 11:00:00,91.39871244635194,91.54592274678112,148.74422110552763,54.89
2025-03-25 12:00:00,92.63948497854076,92.57639484978544,147.4884422110553,54.38
2025-03-25 13:00:00,91.0412017167382,91.39871244635194,85.99399141630903,28.74
2025-03-25 14:00:00,90.662660944206,92.63948497854076,91.54592274678112,31.38
2025-03-25 15:00:00,92.9128755364807,91.0412017167382,92.57639484978544,31.87
2025-03-25 16:00:00,94.38497854077252,90.662660944206,91.39871244635194,31.31
2025-03-25 17:00:00,119.36884422110552,92.9128755364807,92.63948497854076,31.9
2025-03-25 18:00:00,154.75374077976818,94.38497854077252,91.0412017167382,31.14
2025-03-25 19:00:00,162.46775553213908,119.36884422110552,90.662660944206,30.96
2025-03-25 20:00:00,163.59336143308747,154.75374077976818,92.9128755364807,32.03
2025-03-25 21:00:00,162.7569020021075,162.46775553213908,94.38497854077252,32.73
2025-03-25 22:00:00,162.24573234984194,163.59336143308747,119.36884422110552,42.96
2025-03-25 23:00:00,160.55732349841938,162.7569020021075,154.75374077976818,62.77
2025-03-26 00:00:00,157.86206533192836,162.24573234984194,162.46775553213908,77.71
2025-03-27 01:00:00,153.23572181243415,160.55732349841938,163.59336143308747,79.89
