timestamp,pm25_humidity_interaction,pm25_temp_interaction,heat_index,pm25_dispersion,stability_index,coarse_particle_fraction
2025-03-23 06:00:00,7895.88,5702.58,45.992,27.07777777777778,0.7027027027027027,0.2095176339205302
2025-03-23 07:00:00,3008.0,4211.2,49.44,20.05333333333333,1.3333333333333333,0.1451777803021697
2025-03-23 08:00:00,2194.7,3873.0,53.499,11.22608695652174,1.6666666666666667,0.1304933037216502
2025-03-23 09:00:00,1452.14,2648.02,55.599,10.54567901234568,1.7222222222222223,0.1494778717056191
2025-03-23 10:00:00,756.33,1334.7,53.499,3.868695652173913,1.6666666666666667,0.2071479374110952
2025-03-23 11:00:00,849.87,1254.57,55.787,3.5191304347826087,1.4090909090909092,0.2223500095840521
2025-03-23 12:00:00,1312.5400000000002,1333.71,57.307,10.326829268292684,0.984375,0.2222833058457027
2025-03-23 13:00:00,1398.25,1566.04,49.675,7.457333333333334,1.0769230769230769,0.2185495118549511
2025-03-23 14:00:00,2296.0,2132.0,45.616,10.933333333333334,0.896551724137931,0.2183929931454684
2025-03-23 15:00:00,6464.12,2293.7200000000003,38.81400000000001,208.52,0.3492063492063492,0.2250686864186529
2025-03-23 16:00:00,5326.2,2784.15,40.068,16.14,0.5111111111111111,0.2336643683977481
2025-03-23 17:00:00,5958.48,3114.66,40.068,18.056,0.5111111111111111,0.2449297971918877
2025-03-23 18:00:00,11288.28,2747.805,32.122,297.06,0.2402597402597402,0.2507435600141151
2025-03-23 19:00:00,6777.759999999999,3542.92,40.068,20.538666666666664,0.5111111111111111,0.244300632445948
2025-03-23 20:00:00,6774.68,3541.31,40.068,20.529333333333334,0.5111111111111111,0.2411466285770576
2025-03-23 21:00:00,13871.7,2389.015,26.48,37.59268292682927,0.1703296703296703,0.2435627053803521
2025-03-23 22:00:00,8099.0,2803.5,29.944,20.766666666666666,0.3396226415094339,0.2437769906351594
2025-03-23 23:00:00,8040.24,2783.16,29.944,20.616,0.3396226415094339,0.2412710867006668
2025-03-24 00:00:00,12470.64,2301.13,26.198,296.92,0.1823529411764705,0.2402965993352083
2025-03-24 01:00:00,7637.24,2643.66,29.944,19.582666666666668,0.3396226415094339,0.243592382913021
2025-03-24 02:00:00,8347.04,2889.36,29.944,21.40266666666667,0.3396226415094339,0.2480337078651684
2025-03-24 03:00:00,13064.4,3447.55,32.984,44.25609756097561,0.2602739726027397,0.2497313827589057
2025-03-24 04:00:00,7935.719999999999,4883.52,41.933,27.130666666666663,0.6,0.2466696269982237
2025-03-24 05:00:00,7765.6,5710.0,43.798,30.453333333333333,0.7142857142857143,0.2353256140820561
2025-03-24 06:00:00,11246.84,6390.25,44.268,62.3439024390244,0.5555555555555556,0.212327501232134
2025-03-24 07:00:00,4013.1,3611.79,47.81,14.081052631578949,0.8709677419354839,0.1780561183766194
2025-03-24 08:00:00,3021.76,3021.76,49.816,9.384347826086955,0.9655172413793104,0.1744745892243026
2025-03-24 09:00:00,3486.88,2685.84,51.289,22.985365853658536,0.75,0.1842628620838738
2025-03-24 10:00:00,1956.16,1650.51,47.904,5.315652173913044,0.8181818181818182,0.2566468374408158
2025-03-24 11:00:00,1988.75,1397.5,46.039,4.673913043478261,0.6842105263157895,0.294048243314106
2025-03-24 12:00:00,3112.25,1371.5,47.073,12.865853658536588,0.4333333333333333,0.2979543039319873
2025-03-24 13:00:00,2708.05,1651.25,44.127,8.806666666666667,0.5952380952380952,0.2837808575140754
2025-03-24 14:00:00,4308.4800000000005,2350.08,42.168000000000006,13.056,0.5333333333333333,0.2736030828516377
2025-03-24 15:00:00,9642.94,2801.665,38.328,31.78292682926829,0.2866666666666667,0.2708822542770882
2025-03-24 16:00:00,8176.31,3393.94,38.391000000000005,20.569333333333336,0.4074074074074074,0.2629744569109572
2025-03-24 17:00:00,8485.3,3522.2,38.391000000000005,21.346666666666668,0.4074074074074074,0.2550569634968612
2025-03-24 18:00:00,9923.62,2718.8,35.131,33.15609756097561,0.2702702702702703,0.2517463285847863
2025-03-24 19:00:00,4415.04,1655.64,36.432,10.512,0.3684210526315789,0.2525329040810529
2025-03-24 20:00:00,3252.48,1219.68,36.432,7.744,0.3684210526315789,0.2518004115226337
2025-03-24 21:00:00,3902.6,975.65,33.172,12.52439024390244,0.2467532467532467,0.2491243432574431
2025-03-24 22:00:00,2934.4,917.0,34.708,6.113333333333333,0.3076923076923077,0.2543005517689062
2025-03-24 23:00:00,2637.44,824.2,34.708,5.494666666666666,0.3076923076923077,0.2667731629392971
2025-03-25 00:00:00,3220.56,715.68,31.307,9.697560975609756,0.2195121951219512,0.2806352643927089
2025-03-25 01:00:00,2611.84,816.2,34.708,5.441333333333334,0.3076923076923077,0.2929484963705495
2025-03-25 02:00:00,3088.64,965.2,34.708,5.745238095238094,0.3076923076923077,0.3006507592190889
2025-03-25 03:00:00,4505.0,954.0,31.495,12.926829268292684,0.2093023255813953,0.2936011706797924
2025-03-25 04:00:00,1760.18,1294.25,43.798,6.902666666666667,0.7142857142857143,0.2861271676300578
2025-03-25 05:00:00,1646.7,1427.14,45.71,7.318666666666667,0.8387096774193549,0.284263959390863
2025-03-25 06:00:00,2555.86,1468.26,48.609,13.263414634146343,0.5625,0.282874819007503
2025-03-25 07:00:00,977.16,775.9799999999999,47.998000000000005,2.4991304347826087,0.7714285714285715,0.2979552093476144
2025-03-25 08:00:00,1035.54,878.64,50.051,2.7286956521739127,0.8235294117647058,0.3302127659574468
2025-03-25 09:00:00,1274.8,924.23,52.48,2.723931623931624,0.7073170731707317,0.3460830435671916
