timestamp,temperature,dew_point,relative_humidity,precipitation,snow,wind_direction,wind_speed,wpgt,pressure,tsun,coco
2025-08-24 21:00:00,23.9,22.5,92.0,0.0,,200.0,7.2,,1003.1,,1.0
2025-08-24 22:00:00,23.6,22.4,93.0,0.0,,190.0,6.1,,1002.8,,1.0
2025-08-24 23:00:00,23.5,22.3,93.0,0.0,,209.0,5.0,,1002.5,,1.0
2025-08-25 00:00:00,23.4,22.2,93.0,0.0,,212.0,6.5,,1002.3,,1.0
2025-08-25 01:00:00,23.4,22.4,94.0,0.0,,216.0,6.8,,1002.5,,1.0
2025-08-25 02:00:00,24.7,22.8,89.0,0.0,,240.0,6.8,,1002.8,,1.0
2025-08-25 03:00:00,26.7,23.0,80.0,0.0,,200.0,5.4,,1003.1,,1.0
2025-08-25 04:00:00,28.4,22.9,72.0,0.0,,180.0,4.0,,1003.4,,1.0
2025-08-25 05:00:00,29.7,23.4,69.0,0.0,,152.0,4.3,,1003.6,,1.0
2025-08-25 06:00:00,30.9,23.8,66.0,0.0,,151.0,5.0,,1003.1,,1.0
2025-08-25 07:00:00,32.0,23.8,62.0,0.0,,118.0,5.4,,1002.1,,1.0
2025-08-25 08:00:00,32.6,23.0,57.0,0.0,,90.0,7.6,,1001.3,,1.0
2025-08-25 09:00:00,33.1,22.6,54.0,0.0,,53.0,7.9,,1000.2,,1.0
2025-08-25 10:00:00,32.8,22.9,56.0,0.0,,54.0,8.3,,999.3,,1.0
2025-08-25 11:00:00,32.5,23.5,59.0,0.0,,58.0,9.7,,998.5,,1.0
2025-08-25 12:00:00,32.0,24.1,63.0,0.0,,53.0,9.4,,998.4,,1.0
2025-08-25 13:00:00,30.9,25.0,71.0,0.0,,32.0,10.1,,998.8,,1.0
2025-08-25 14:00:00,29.3,24.8,77.0,0.0,,52.0,11.2,,999.4,,1.0
2025-08-25 15:00:00,28.3,24.7,81.0,0.0,,101.0,10.1,,1000.6,,1.0
2025-08-25 16:00:00,27.8,24.4,82.0,0.0,,150.0,9.4,,1001.8,,1.0
2025-08-25 17:00:00,27.3,24.4,84.0,0.0,,11.0,7.6,,1002.4,,1.0
2025-08-25 18:00:00,26.6,24.4,88.0,0.0,,8.0,7.9,,1002.7,,1.0
2025-08-25 19:00:00,26.0,24.4,91.0,0.0,,1.0,7.6,,1003.1,,2.0
2025-08-25 20:00:00,25.5,24.3,93.0,0.0,,335.0,6.1,,1003.3,,1.0
