timestamp,aqi_numeric,temperature,relative_humidity,wind_speed,pressure,pm2_5,pm10,no2,o3,hour,day_of_week,is_weekend,pm2_5_lag24h,pm10_lag24h,no2_lag24h,o3_lag24h,temperature_lag24h,relative_humidity_lag24h,wind_speed_lag24h,pressure_lag24h,aqi_lag1h,aqi_lag3h,aqi_lag6h,pm25_lag6h,pm10_lag6h,pm2_5_lag48h,pm10_lag48h,no2_lag48h,o3_lag48h,aqi_numeric_lag48h,pm2_5_lag72h,pm10_lag72h,no2_lag72h,o3_lag72h,aqi_numeric_lag72h,temperature_lag48h,relative_humidity_lag48h,pressure_lag48h,temperature_lag72h,relative_humidity_lag72h,pressure_lag72h,pm2_5_rolling_mean_6h,pm10_rolling_mean_6h,aqi_numeric_rolling_mean_6h,temperature_rolling_mean_6h,relative_humidity_rolling_mean_6h,pm2_5_rolling_mean_12h,pm10_rolling_mean_12h,aqi_numeric_rolling_mean_12h,temperature_rolling_mean_12h,relative_humidity_rolling_mean_12h,pm2_5_rolling_mean_24h,pm10_rolling_mean_24h,aqi_numeric_rolling_mean_24h,temperature_rolling_mean_24h,relative_humidity_rolling_mean_24h,pm2_5_rolling_std_12h,pm10_rolling_std_12h,aqi_numeric_rolling_std_12h,pm2_5_rolling_std_24h,pm10_rolling_std_24h,aqi_numeric_rolling_std_24h,hour_sin,hour_cos,dow_sin,dow_cos,month,season,day_of_year,doy_sin,doy_cos,pm25_humidity_interaction,pm25_temp_interaction,pm10_wind_interaction,pm25_pm10_ratio,hour_since_midnight,is_peak_pollution_hour,is_low_pollution_hour
2025-06-18 01:00:00,155.06354056902,30.0,59.0,15.0,1000.0,63.37,102.23,8.13,70.2,1,2,0,60.52,109.01,9.93,59.24,28.3,49.0,3.6,999.8,154.98609062170706,154.36649104320338,154.23740779768178,61.77,106.25,57.05,117.96,10.31,52.14,151.80031612223394,38.26,82.1,11.03,52.35,107.79597989949748,30.0,49.0,1000.0,28.0,37.0,1000.0,62.53,103.36666666666667,154.62982086406743,30.33333333333333,57.16666666666666,62.03416666666666,105.35333333333334,154.3738057604496,32.5,48.75,61.33375,111.20458333333332,153.65604014540563,34.15416666666666,40.875,0.9340766790990442,2.331559498913258,0.4822945972584737,4.418612621628209,12.357167249314298,3.004032057335805,0.2588190451025207,0.9659258262890684,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,3738.83,1901.1,6.770198675496689,0.6192709860256034,1,0,0
2025-06-18 02:00:00,155.29589041095892,31.0,52.0,19.0,1000.0,63.82,103.93,8.25,71.55,2,2,0,61.26,113.83,9.9,60.03,29.7,46.0,4.0,1000.3,155.06354056902,154.64014752370915,154.304531085353,61.9,105.59,60.57,128.67,10.04,54.02,153.61780821917807,38.07,83.17,11.04,53.5,107.3281407035176,31.0,46.0,1001.0,30.0,35.0,1000.0,62.85,103.09,154.79504741833512,30.33333333333333,57.16666666666666,62.37166666666667,105.08916666666666,154.54806814190377,32.083333333333336,49.833333333333336,61.44041666666667,110.79208333333332,153.7111156634949,34.208333333333336,41.125,0.7563889491766524,2.29496467920331,0.3905485617974227,4.447559642700071,12.430735743437635,3.0221785919743533,0.4999999999999999,0.8660254037844387,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,3318.64,1978.42,5.441361256544503,0.6134768816687494,2,0,0
2025-06-18 03:00:00,155.85353003161222,31.0,52.0,19.0,1001.0,64.9,108.3,7.04,85.66,3,2,0,62.52,121.17,8.58,72.45,31.0,40.0,15.0,1002.0,155.29589041095892,154.98609062170706,154.418124341412,62.12,104.74,65.4,143.02,8.8,64.63,156.11169652265542,38.56,85.35,10.43,60.01,108.53467336683416,32.0,43.0,1001.0,31.0,36.0,1001.0,63.31333333333333,103.68333333333334,155.03428170003514,30.33333333333333,56.66666666666666,62.67000000000001,105.10333333333334,154.70210748155952,31.666666666666668,50.91666666666666,61.53958333333333,110.25583333333331,153.76231868421843,34.208333333333336,41.625,0.9775572524565392,2.315871457154625,0.5047450513612552,4.498914341664577,12.239709401447152,3.048623479484498,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,3374.8,2011.9,5.670157068062827,0.5987084870848709,3,0,0
2025-06-18 04:00:00,155.85353003161222,33.0,53.0,15.0,1000.0,64.9,110.55,2.69,126.33,4,2,0,64.32,133.59,4.25,109.26,33.0,39.0,15.0,1002.0,155.85353003161222,155.06354056902,154.36649104320338,62.02,103.0,70.34,159.37,4.26,97.59,158.66238145416227,34.97,84.22,5.94,92.11,99.09570815450644,32.0,43.0,1001.0,36.0,22.0,1001.0,63.79333333333333,104.94166666666666,155.28212153143662,30.83333333333333,55.66666666666666,62.9425,105.36583333333331,154.84280821917807,31.416666666666668,52.25,61.56375,109.29583333333336,153.7747967312855,34.208333333333336,42.208333333333336,1.1083167007236658,2.739616623257203,0.5722604672163093,4.516024427574191,11.18835960182278,3.056877633844499,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,3439.7000000000003,2141.7000000000003,7.321192052980132,0.5865341165838229,4,0,0
2025-06-18 05:00:00,156.43698630136987,34.0,44.0,11.0,999.0,66.03,108.27,1.65,140.33,5,2,0,68.49,139.72,2.73,127.8,34.0,36.0,15.0,1001.0,155.85353003161222,155.29589041095892,154.64014752370915,62.55,102.31,74.82,164.6,2.78,114.34,160.97555321390936,35.08,83.68,3.73,111.23,99.32703862660944,34.0,44.0,1001.0,37.0,21.0,1001.0,64.37333333333333,105.935,155.58159466104675,31.5,53.16666666666666,63.25583333333333,105.42416666666666,155.00459255356515,31.416666666666668,52.66666666666666,61.46125,107.98541666666668,153.72187260062165,34.208333333333336,42.54166666666666,1.3952611898460945,2.7976531019393485,0.7204193709709037,4.377786131488785,9.12077369866772,2.996229706984078,0.9659258262890684,0.2588190451025207,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,2905.32,2245.02,9.754054054054054,0.6093014671957184,5,0,0
2025-06-18 06:00:00,157.31475237091675,35.0,44.0,11.0,998.0,67.73,108.03,1.2,147.64,6,2,0,73.88,145.76,1.93,142.4,35.0,32.0,15.0,1001.0,156.43698630136987,155.85353003161222,154.98609062170706,63.22,102.33,81.27,171.67,1.99,128.15,164.3059009483667,36.46,84.03,2.41,126.53,103.3638190954774,35.0,42.0,1001.0,38.0,17.0,1000.0,65.125,106.885,155.96970495258168,32.333333333333336,50.66666666666666,63.69416666666667,105.46083333333335,155.23091851071302,31.58333333333333,52.66666666666666,61.205000000000005,106.41333333333334,153.58956227396203,34.208333333333336,43.04166666666666,1.871054434531894,2.8313005631318746,0.9660871158489616,3.7549457241505535,4.309261680598461,2.7438342608722466,1.0,6.123233995736766e-17,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,2980.1200000000003,2370.55,9.732432432432432,0.6263756589290669,6,0,0
2025-06-18 07:00:00,156.28208640674393,37.0,42.0,11.0,997.0,65.73,103.53,0.9,150.68,7,2,0,63.63,123.17,0.91,140.55,37.0,29.0,15.0,1001.0,157.31475237091675,155.85353003161222,155.06354056902,63.37,102.23,73.59,153.05,1.1,134.55,160.3404636459431,34.01,81.56,0.88,136.66,97.07682403433476,36.0,37.0,1000.0,39.0,16.0,999.0,65.51833333333333,107.10166666666667,156.17279592553567,33.5,47.833333333333336,64.02416666666666,105.23416666666668,155.40130839480153,31.916666666666668,52.5,61.2925,105.595,153.6347414098946,34.208333333333336,43.583333333333336,1.849930997897308,2.8709784785409544,0.9551803888197968,3.837472277199279,2.454451147359202,2.780152636130424,0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,2760.6600000000003,2432.01,9.327027027027029,0.6342757888642285,7,1,0
2025-06-18 08:00:00,153.17376185458377,38.0,38.0,15.0,997.0,59.71,94.25,0.78,149.91,8,2,0,56.11,107.53,0.67,136.5,37.0,27.0,11.0,1000.0,156.28208640674393,156.43698630136987,155.29589041095892,63.82,103.93,63.97,131.81,0.77,133.48,155.37334035827186,32.65,79.01,0.65,135.3,94.21673819742487,37.0,33.0,999.0,39.0,16.0,998.0,64.83333333333333,105.48833333333334,155.81910783280648,34.666666666666664,45.5,63.84166666666667,104.28916666666667,155.30707762557077,32.5,51.333333333333336,61.4425,105.04166666666669,153.71219135720753,34.25,44.04166666666666,2.1604916668286296,4.269092853040486,1.115533105124756,3.693757660186439,3.3373781256569552,2.738294348613535,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,2268.98,2268.98,6.241721854304636,0.6328563857975623,8,1,0
2025-06-18 09:00:00,151.30979978925183,39.0,36.0,15.0,996.0,56.1,88.64,0.76,149.59,9,2,0,53.98,102.85,0.65,135.49,39.0,26.0,15.0,999.0,153.17376185458377,157.31475237091675,155.85353003161222,64.9,108.3,59.23,120.07,0.72,132.05,152.9259220231823,31.94,78.41,0.63,133.85,92.7236051502146,38.0,31.0,998.0,41.0,15.0,997.0,63.366666666666674,102.21166666666666,155.06181945907974,36.0,42.833333333333336,63.34,102.9475,155.04805057955744,33.166666666666664,49.75,61.53083333333333,104.44958333333334,153.91245311559553,34.25,44.458333333333336,3.0938972187213847,6.205342456303446,1.597481177223988,3.52922323843062,4.718022318878925,2.334093994428581,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,2019.6,2187.9,5.870198675496689,0.632183908045977,9,1,0
2025-06-18 10:00:00,149.65527638190954,40.0,30.0,15.0,994.0,55.26,87.21,0.83,152.21,10,2,0,54.07,102.35,0.71,136.51,39.0,26.0,19.0,998.0,151.30979978925183,156.28208640674393,155.85353003161222,64.9,110.55,56.39,111.55,0.9,130.34,151.4595363540569,31.94,79.02,0.83,132.4,92.7236051502146,40.0,25.0,997.0,43.0,12.0,994.7,61.76000000000001,98.32166666666669,154.0287771841293,37.16666666666666,39.0,62.77666666666667,101.63166666666666,154.65544935778294,34.0,47.333333333333336,61.58041666666667,103.81875,154.03454273033591,34.291666666666664,44.625,3.873336201951168,7.6897698669116386,2.23279825943282,3.426716617313773,5.880025371506119,1.993598627065802,0.4999999999999999,-0.8660254037844387,0.9749279121818236,-0.2225209339563143,6,2,169,0.2303056702306122,-0.973118337233262,1657.8,2210.4,5.775496688741722,0.6329171916160807,10,0,0
